"","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)",-1.15007577816701,1.15271184092376,0.318532545558807
"Year2005",1.74517751955362,1.12838838397653,0.122106691447068
"Year2006",2.24908198587168,1.12822393214605,0.0463380533408085
"Year2007",2.45594035918406,1.12816816009204,0.0295961732453614
"Year2008",2.31663836542014,1.12856594911229,0.0402217495350665
"Year2009",1.35536850455461,1.12887274276274,0.230025700322259
"Year2010",1.19325198359659,1.1284879743607,0.290454297633973
"Year2011",1.28397709319526,1.12852375741191,0.255353998575286
"Year2012",1.13238826808946,1.12873076944827,0.315859611305064
"Year2013",0.534198747476629,1.12845365727662,0.635983750501795
"Year2014",0.323889758012291,1.12872022066376,0.774176332270192
"Year2015",-0.00583094851321871,1.12956596463927,0.995881733665945
"SIC3208",0.0213175055513693,0.34117123034377,0.950183859078978
"SIC3211",-0.841319156190291,0.410078916638016,0.040331099342201
"SIC3282",0.387500072166615,0.338598783536862,0.252577889951626
"SIC3283",-0.776831329354372,0.287788156291405,0.00700348304941837
"SIC3284",-1.17703737618283,0.339189374984298,0.000530592312507001
"SIC3357",1.01890121741873,0.309009489893255,0.000992299269191922
"SIC3367",0.27810358319913,0.335996986639257,0.407935647711654
"SIC3371",-0.128245634718227,0.420576887573893,0.760451040752634
"SIC3372",0.822172267674969,0.308797064111493,0.00781498922258636
"SIC3381",0.10427043173107,0.413186445042649,0.800789755548126
"SIC3382",0.424472803157951,0.411464680092107,0.302370784010097
"SIC3384",-0.778936099728881,0.410069694957666,0.0576318331620377
"SIC3401",-0.336681659472606,0.415099705361097,0.417407365491694
"SIC3451",-0.157498896283414,0.414253207976806,0.703835428620962
"SIC3481",-0.976058559789072,0.356119404087138,0.00618014982159574
"SIC3488",0.78820106187823,0.339904150885389,0.020495713457904
"SIC3491",-0.235525263655901,0.343515844468444,0.493020656633493
"SIC3521",-0.326191851045925,0.410445236765661,0.426861534472477
"SIC3581",-0.876314223097821,0.409493962387822,0.032469385153546
"SIC3602",1.32440607930404,0.317388865174081,3.13021313754637e-05
"SIC3614",-0.56540638124368,0.417156215605545,0.175440264146686
"SIC3619",4.06400269214779,0.433639396643552,1.76570520358212e-20
"SIC3621",7.80677774217374,0.349591446837466,2.31631744232373e-99
"SIC3633",-0.372975038105076,0.421672919003545,0.376520019320094
"SIC3737",0.748969458463751,0.335103087893701,0.0255185804987251
"SIC3999",5.46667101626244,0.475659105814823,1.06916435858536e-29
"MarketValue",1.22275228438494e-05,1.10294277840728e-06,8.38792755436213e-28
"ROA",-2.89651495911815,3.70255232422172,0.434124505667624
