"","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)",1.11706244696639,0.324481898165508,0.000589267852872725
"Year2007",0.21334950802204,0.231879955143061,0.357650543352808
"Year2008",0.0920140545653844,0.232447672471133,0.692263525990035
"Year2009",-0.810763671438196,0.233251180609152,0.000521118271087644
"Year2010",-0.955165318315648,0.230543061797813,3.58439735337272e-05
"Year2011",-0.86823204694882,0.229703547630622,0.000162049872039082
"Year2012",-0.975748935449588,0.229716368749066,2.27031553375907e-05
"Year2013",-1.57136380797511,0.229320919705669,9.93535403141926e-12
"Year2014",-1.75943932561484,0.231350195567073,4.5485870264492e-14
"Year2015",-2.12322498333075,0.235060488201111,4.18533737979564e-19
"SIC3208",0.122024700406181,0.355178144111334,0.731217798138311
"SIC3211",-0.863476093497744,0.43676098374833,0.0481934364592762
"SIC3282",0.392077405049352,0.352243401748019,0.265819208857393
"SIC3283",-0.58211551951119,0.304870728456522,0.0563706135366725
"SIC3284",-1.13338977333392,0.353000221459106,0.00134721196501833
"SIC3357",1.02772139668238,0.323032856721829,0.00149013434204922
"SIC3367",0.39084456323206,0.349202050453406,0.263181966015183
"SIC3371",-0.211631921377901,0.436760835758417,0.628055162057897
"SIC3372",0.795017419930043,0.320982506783147,0.0133465582369311
"SIC3381",0.0817194367717185,0.428903245068043,0.848914311466162
"SIC3382",0.363985608452851,0.426895186579284,0.393974898548095
"SIC3401",-0.403108376070346,0.431172441160699,0.349958395880499
"SIC3451",-0.153199603309034,0.430564010063684,0.72202328565668
"SIC3481",-0.843585953537425,0.376158879739426,0.0250413024389472
"SIC3488",0.720568970638883,0.371511282249862,0.052588374372231
"SIC3491",-0.240569343721679,0.357246890123644,0.500780185054432
"SIC3521",-0.548968878826491,0.428741111049866,0.200561552368153
"SIC3581",-0.900086990835785,0.425600383239623,0.0345780258014923
"SIC3602",1.38406242350565,0.33130186736193,3.08577195049322e-05
"SIC3614",-0.523649688210289,0.433106024774242,0.226799194431737
"SIC3619",1.49800808549812,0.632157219844656,0.0179081253714701
"SIC3621",7.565151292107,0.36375663991928,2.63171005806235e-86
"SIC3633",-0.381018444774832,0.438508446745437,0.385019082046418
"SIC3737",0.792062992100945,0.350989651463809,0.0241485291928337
"SIC3999",5.72558081341953,0.490486476101802,2.08803218679142e-30
"MarketValue",1.06809555221193e-05,1.18245872540584e-06,4.17945304551787e-19
"ROA",-2.16042792414356,4.01457835126701,0.590542729251489
