"","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)",0.975262220366896,0.364663049513357,0.00756861662871273
"Year2006",0.108274753543377,0.176123263897002,0.538803555708721
"Year2007",0.199656738157552,0.271970316983758,0.462997091009903
"Year2008",0.260038034487899,0.215332680166657,0.227390797442724
"Year2009",-0.228287160698474,0.200316172892177,0.25462388966509
"Year2010",-0.199129820967973,0.19028043595183,0.295498559164397
"Year2011",-0.316675261302252,0.220603957204031,0.151359048905642
"Year2012",-0.27788440965609,0.226197846073789,0.219454847251598
"Year2013",-0.673622052764884,0.24252945291432,0.00554753371280186
"Year2014",-0.708697718892161,0.251858065546761,0.00495979966765604
"Year2015",-0.931333535328454,0.238717220603307,9.99415034556221e-05
"SIC3208",0.400034096741542,0.398171999465089,0.315217489005586
"SIC3211",-0.773160910920687,0.0551228954235823,4.78887236516062e-42
"SIC3282",0.273128390105183,0.228970091788516,0.233117677897423
"SIC3283",-0.333827643276519,0.128383821706568,0.00940921290262036
"SIC3284",-0.912285314928213,0.244259039534378,0.000194939147675461
"SIC3357",1.17839359847059,0.177763709208829,4.72824064932097e-11
"SIC3367",0.385481846903532,0.583334341330369,0.508827889146816
"SIC3372",0.789868318194017,0.744076273518907,0.288617488833471
"SIC3381",-0.116567287291468,0.071459506542976,0.103054249115976
"SIC3382",0.306294824096973,0.0483072856870451,3.0369806369539e-10
"SIC3401",-0.569172942277541,0.0714179733862092,3.16136231954434e-15
"SIC3451",-0.316934064572865,0.0613163338084911,2.67848966418695e-07
"SIC3481",-0.424680762485539,0.227642557154019,0.0623015297125872
"SIC3488",0.649787030466634,0.256964328532631,0.0115520319873535
"SIC3491",-0.388549790365207,0.0620779742797296,5.0672328621763e-10
"SIC3521",-0.493707267576878,0.0480339611308781,5.56660080943506e-24
"SIC3581",-0.875405655628043,0.0455559939751632,1.29295856147143e-73
"SIC3737",1.40303797680878,0.289647952926492,1.40698523056769e-06
"MarketValue_lag1",6.27027366979465e-06,1.43271202238796e-06,1.29085698686837e-05
"ROARel_lag1",-0.0261973557051647,0.0739315196051577,0.723130105504779
"SlackRel_lag1",-0.183701839597429,0.245858491176361,0.455070913472601
