"","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)",1.16996190807373,0.315788648426159,0.000219303782378193
"Year2006",0.112236254881218,0.220564641878832,0.610927422373605
"Year2007",0.230551410127738,0.220793999120981,0.296567724981417
"Year2008",0.246129150292714,0.221559167821245,0.266794499428083
"Year2009",-0.306037546051978,0.222614611677912,0.169420682938108
"Year2010",-0.267895434767902,0.221432637795967,0.226538969251716
"Year2011",-0.386929377204187,0.221210245705326,0.0804737698277524
"Year2012",-0.318653071506367,0.220576260946846,0.148771986806476
"Year2013",-0.716129006665398,0.220841656096365,0.00121042462131201
"Year2014",-0.740539226297023,0.222631644900264,0.000901742618193343
"Year2015",-1.00050529432776,0.225435656203599,9.75124124763001e-06
"SIC3208",0.441730098231392,0.238469220079909,0.0641745325621137
"SIC3211",-0.818710718790161,0.289304564092865,0.00471903651191168
"SIC3282",0.234522756212161,0.232705067064453,0.313710662993578
"SIC3283",-0.33274744673092,0.205168353205939,0.105054535195068
"SIC3284",-0.942887853875989,0.237834519287949,7.70854905775525e-05
"SIC3357",1.15220892676074,0.213807948383152,8.23969352024689e-08
"SIC3367",0.370123348125322,0.232225421610988,0.11119298969104
"SIC3372",0.816897590089192,0.212238390836381,0.00012369441789078
"SIC3381",-0.142802026859968,0.28539749666285,0.61689503816841
"SIC3382",0.247527330679997,0.284972821350936,0.385207569847249
"SIC3401",-0.661369536935622,0.28863582665757,0.0220830134645261
"SIC3451",-0.296824282521312,0.284814594645092,0.297505418372196
"SIC3481",-0.437442310453051,0.247800700433796,0.0777207072152974
"SIC3488",0.65691449049699,0.244693702229784,0.00734222971827478
"SIC3491",-0.436272205216607,0.233880107462895,0.0623286771076107
"SIC3521",-0.549953868652442,0.287729986928002,0.0561529935243219
"SIC3581",-0.921699656734941,0.284435474415991,0.00122004897409372
"SIC3737",1.41992706390089,0.240188422186899,4.2003392144346e-09
"MarketValue_lag2",5.96494543762525e-06,9.22742826874393e-07,1.37966554900788e-10
"ROARel_lag2",-0.113869539995089,0.0617412997908124,0.0653399834412591
"SlackRel_lag2",-0.128528261013254,0.168677086926972,0.446195007778971
"PIH_lag2",-0.0164961464101996,0.00924910685619436,0.0747043739030023
